Pollster,Start Date,End Date,Entry Date/Time (ET),Number of Observations,Population,Mode,Trump,Clinton,Other,Undecided,Pollster URL,Source URL,Partisan,Affiliation,Question Text,Question Iteration
Insights West,2016-11-04,2016-11-07,2016-11-08T12:16:30Z,940,Likely Voters,Internet,41.0,45.0,2.0,8.0,http://elections.huffingtonpost.com/pollster/polls/insights-west-26812,http://www.insightswest.com/news/clinton-is-ahead-of-trump-as-u-s-presidential-election-approaches/,Nonpartisan,None,"As you may know, there will be a presidential election on Nov. 8. Which one of the following candidates would you be most likely to support on Election Day?",1
Insights West,2016-11-04,2016-11-07,2016-11-08T12:16:30Z,,Likely Voters - Democrat,Internet,6.0,89.0,0.0,4.0,http://elections.huffingtonpost.com/pollster/polls/insights-west-26812,http://www.insightswest.com/news/clinton-is-ahead-of-trump-as-u-s-presidential-election-approaches/,Nonpartisan,None,"As you may know, there will be a presidential election on Nov. 8. Which one of the following candidates would you be most likely to support on Election Day?",1
Insights West,2016-11-04,2016-11-07,2016-11-08T12:16:30Z,,Likely Voters - Republican,Internet,82.0,7.0,2.0,6.0,http://elections.huffingtonpost.com/pollster/polls/insights-west-26812,http://www.insightswest.com/news/clinton-is-ahead-of-trump-as-u-s-presidential-election-approaches/,Nonpartisan,None,"As you may know, there will be a presidential election on Nov. 8. Which one of the following candidates would you be most likely to support on Election Day?",1
Insights West,2016-11-04,2016-11-07,2016-11-08T12:16:30Z,,Likely Voters - independent,Internet,38.0,43.0,4.0,7.0,http://elections.huffingtonpost.com/pollster/polls/insights-west-26812,http://www.insightswest.com/news/clinton-is-ahead-of-trump-as-u-s-presidential-election-approaches/,Nonpartisan,None,"As you may know, there will be a presidential election on Nov. 8. Which one of the following candidates would you be most likely to support on Election Day?",1
IBD/TIPP,2016-11-04,2016-11-07,2016-11-08T12:10:06Z,1107,Likely Voters,Live Phone,43.0,41.0,4.0,5.0,http://elections.huffingtonpost.com/pollster/polls/ibd-tipp-26811,http://www.investors.com/politics/ibd-tipp-presidential-election-poll/,Nonpartisan,None,,1
IBD/TIPP,2016-11-04,2016-11-07,2016-11-08T12:10:06Z,1107,Likely Voters,Live Phone,42.0,43.0,5.0,9.0,http://elections.huffingtonpost.com/pollster/polls/ibd-tipp-26811,http://www.investors.com/politics/ibd-tipp-presidential-election-poll/,Nonpartisan,None,,2
YouGov/Economist,2016-11-04,2016-11-07,2016-11-07T21:25:46Z,3669,Likely Voters,Internet,41.0,45.0,5.0,4.0,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-26805,https://today.yougov.com/news/2016/11/07/final-economistyougov-poll-shows-clinton-4-point-n/,Nonpartisan,None,,1
YouGov/Economist,2016-11-04,2016-11-07,2016-11-07T21:25:46Z,1392,Likely Voters - Democrat,Internet,6.0,90.0,2.0,2.0,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-26805,https://today.yougov.com/news/2016/11/07/final-economistyougov-poll-shows-clinton-4-point-n/,Nonpartisan,None,,1
YouGov/Economist,2016-11-04,2016-11-07,2016-11-07T21:25:46Z,1110,Likely Voters - Republican,Internet,84.0,4.0,4.0,4.0,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-26805,https://today.yougov.com/news/2016/11/07/final-economistyougov-poll-shows-clinton-4-point-n/,Nonpartisan,None,,1
YouGov/Economist,2016-11-04,2016-11-07,2016-11-07T21:25:46Z,1167,Likely Voters - independent,Internet,44.0,31.0,9.0,8.0,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-26805,https://today.yougov.com/news/2016/11/07/final-economistyougov-poll-shows-clinton-4-point-n/,Nonpartisan,None,,1
YouGov/Economist,2016-11-04,2016-11-07,2016-11-07T21:25:46Z,3669,Likely Voters,Internet,45.0,49.0,7.0,,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-26805,https://today.yougov.com/news/2016/11/07/final-economistyougov-poll-shows-clinton-4-point-n/,Nonpartisan,None,,2
YouGov/Economist,2016-11-04,2016-11-07,2016-11-07T21:25:46Z,1392,Likely Voters - Democrat,Internet,6.0,91.0,2.0,,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-26805,https://today.yougov.com/news/2016/11/07/final-economistyougov-poll-shows-clinton-4-point-n/,Nonpartisan,None,,2
YouGov/Economist,2016-11-04,2016-11-07,2016-11-07T21:25:46Z,1110,Likely Voters - Republican,Internet,88.0,6.0,5.0,,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-26805,https://today.yougov.com/news/2016/11/07/final-economistyougov-poll-shows-clinton-4-point-n/,Nonpartisan,None,,2
YouGov/Economist,2016-11-04,2016-11-07,2016-11-07T21:25:46Z,1167,Likely Voters - independent,Internet,49.0,38.0,13.0,,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-26805,https://today.yougov.com/news/2016/11/07/final-economistyougov-poll-shows-clinton-4-point-n/,Nonpartisan,None,,2
Lucid/The Times-Picayune,2016-11-04,2016-11-06,2016-11-07T15:43:26Z,931,Likely Voters,Internet,40.0,45.0,2.0,7.0,http://elections.huffingtonpost.com/pollster/polls/lucid-the-times-picayune-26788,https://luc.id/2016-presidential-tracker/,Nonpartisan,None,,1
Bloomberg/Selzer,2016-11-04,2016-11-06,2016-11-07T12:18:47Z,799,Likely Voters,Live Phone,43.0,46.0,5.0,6.0,http://elections.huffingtonpost.com/pollster/polls/bloomberg-selzer-26771,https://assets.bwbx.io/documents/users/iqjWHBFdfxIU/rklCDpOEK78Q/v0,Nonpartisan,None,"If the general election were held today, and the candidates were Hillary Clinton for the Democrats and Donald Trump for the Republicans, for whom would you vote? ",1
Bloomberg/Selzer,2016-11-04,2016-11-06,2016-11-07T12:18:47Z,,Likely Voters - Democrat,Live Phone,6.0,86.0,3.0,5.0,http://elections.huffingtonpost.com/pollster/polls/bloomberg-selzer-26771,https://assets.bwbx.io/documents/users/iqjWHBFdfxIU/rklCDpOEK78Q/v0,Nonpartisan,None,"If the general election were held today, and the candidates were Hillary Clinton for the Democrats and Donald Trump for the Republicans, for whom would you vote? ",1
Bloomberg/Selzer,2016-11-04,2016-11-06,2016-11-07T12:18:47Z,,Likely Voters - Republican,Live Phone,85.0,5.0,6.0,4.0,http://elections.huffingtonpost.com/pollster/polls/bloomberg-selzer-26771,https://assets.bwbx.io/documents/users/iqjWHBFdfxIU/rklCDpOEK78Q/v0,Nonpartisan,None,"If the general election were held today, and the candidates were Hillary Clinton for the Democrats and Donald Trump for the Republicans, for whom would you vote? ",1
